ra              dec            obs_date    obs_time    exposure    exposure_times
304.1913096    5.641795627    20181121    180100    1200    3
325.6596614    12.49415076    20181121    194100    1200    3
352.2462323    -9.347893492    20181121    212100    1200    3
31.18363222    34.40983211    20181121    230100    1200    3
65.96807581    12.55681993    20181121    244100    1200    3
91.35816282    15.76440347    20181121    262100    1200    3
109.1939428    59.26056881    20181121    280100    1200    3
307.7973332    0.7071817234    20181122    180000    1200    3
336.6836296    43.06059997    20181122    194000    1200    3
351.3089466    22.43376109    20181122    212000    1200    3
42.10602827    15.39889751    20181122    230000    1200    3
48.85660369    4.300611958    20181122    244000    1200    3
79.57167305    12.76794868    20181122    262000    1200    3
90.37152049    -6.712062536    20181122    280000    1200    3
301.5322946    43.36697275    20181123    175900    1200    3
336.9495028    59.26223062    20181123    193900    1200    3
357.351973    17.12334204    20181123    211900    1200    3
40.18923875    33.65527058    20181123    225900    1200    3
41.79353756    39.15924102    20181123    243900    1200    3
77.31288922    58.63452775    20181123    261900    1200    3
117.4298407    -8.726668744    20181123    275900    1200    3
301.1211275    49.7337949    20181124    175800    1200    3
329.2550233    -3.034720108    20181124    193800    1200    3
359.8523976    43.03551668    20181124    211800    1200    3
35.02674591    59.62783773    20181124    225800    1200    3
60.93431458    41.38158182    20181124    243800    1200    3
90.2366798    50.85708885    20181124    261800    1200    3
107.9594936    50.45552779    20181124    275800    1200    3
317.4427911    -7.395221921    20181125    175700    1200    3
347.5132656    42.72694609    20181125    193700    1200    3
10.23936138    30.47439203    20181125    211700    1200    3
22.14099801    59.5669926    20181125    225700    1200    3
60.18204224    1.138265427    20181125    243700    1200    3
68.15214693    8.743383187    20181125    261700    1200    3
113.5040226    13.27777159    20181125    275700    1200    3
311.6605225    -5.919534838    20181126    175600    1200    3
338.6309849    54.25922108    20181126    193600    1200    3
353.0977227    50.97490124    20181126    211600    1200    3
41.6096627    46.21338389    20181126    225600    1200    3
44.19509546    58.49738286    20181126    243600    1200    3
84.30421357    14.25303377    20181126    261600    1200    3
109.7719957    -1.805289888    20181126    275600    1200    3
304.3937336    49.05828751    20181127    175500    1200    3
334.8442876    33.46137198    20181127    193500    1200    3
7.276116912    32.80773223    20181127    211500    1200    3
34.49846222    8.023114703    20181127    225500    1200    3
44.9309748    47.0274348    20181127    243500    1200    3
89.69495614    16.98896059    20181127    261500    1200    3
111.3677404    58.09432538    20181127    275500    1200    3
307.0601293    12.47951536    20181128    175400    1200    3
353.9597937    22.34152368    20181128    193400    1200    3
5.636533387    49.37499244    20181128    211400    1200    3
35.76977303    49.3828288    20181128    225400    1200    3
51.44070934    28.43018836    20181128    243400    1200    3
89.66213961    0.7501190142    20181128    261400    1200    3
119.0294692    7.827574    20181128    275400    1200    3
309.3376025    -8.415439634    20181129    175300    1200    3
355.4629212    3.577529478    20181129    193300    1200    3
15.20532861    -9.590881927    20181129    211300    1200    3
30.34600686    11.70578119    20181129    225300    1200    3
65.83393249    14.82627654    20181129    243300    1200    3
80.52048171    10.63930783    20181129    261300    1200    3
122.1060464    24.1238685    20181129    275300    1200    3
309.33567    -2.072159    20181130    175200    1200    3
336.5252131    1.000262347    20181130    193200    1200    3
5.97184455    0.2166763546    20181130    211200    1200    3
28.23357694    6.060181245    20181130    225200    1200    3
66.10190845    19.17848032    20181130    243200    1200    3
93.19460764    54.73873485    20181130    261200    1200    3
108.8072048    25.74007687    20181130    275200    1200    3
315.844601    48.0315545    20181201    175100    1200    3
348.8210138    38.38041795    20181201    193100    1200    3
12.29916982    26.43889088    20181201    211100    1200    3
28.46244766    17.66818592    20181201    225100    1200    3
61.77538334    19.18223673    20181201    243100    1200    3
87.19378862    -2.998564738    20181201    261100    1200    3
108.3706874    17.6664894    20181201    275100    1200    3
313.0251338    40.73258107    20181202    175000    1200    3
341.4337492    57.02083817    20181202    193000    1200    3
356.880963    44.64455861    20181202    211000    1200    3
43.49317697    33.50626445    20181202    225000    1200    3
61.39768742    41.50821346    20181202    243000    1200    3
91.90364101    0.913729514    20181202    261000    1200    3
115.9051722    56.81368015    20181202    275000    1200    3
327.5004996    41.06120952    20181203    174900    1200    3
341.5681748    6.826348843    20181203    192900    1200    3
9.6336933    45.89140313    20181203    210900    1200    3
36.84601335    45.37393318    20181203    224900    1200    3
66.76546957    29.01485367    20181203    242900    1200    3
77.09950603    20.0929759    20181203    260900    1200    3
99.17440205    3.432106011    20181203    274900    1200    3
314.3815843    -7.559475272    20181204    174800    1200    3
357.9187827    31.1211758    20181204    192800    1200    3
27.76950321    42.35810266    20181204    210800    1200    3
39.84077602    24.83383219    20181204    224800    1200    3
59.20607018    51.82828257    20181204    242800    1200    3
73.05654849    7.08698071    20181204    260800    1200    3
126.5569348    13.93701129    20181204    274800    1200    3
336.4482121    28.84482206    20181205    174700    1200    3
355.7865594    -9.45052594    20181205    192700    1200    3
3.674680162    32.60940687    20181205    210700    1200    3
47.86705285    52.80778111    20181205    224700    1200    3
49.63376699    29.37498209    20181205    242700    1200    3
91.38382162    19.94802665    20181205    260700    1200    3
114.5885536    16.72363509    20181205    274700    1200    3
125.8170109    27.6781133    20181205    292700    1200    3
324.0800079    27.34040082    20181206    174600    1200    3
352.6196553    14.14784775    20181206    192600    1200    3
15.04071388    0.8858486796    20181206    210600    1200    3
25.83709681    48.77069703    20181206    224600    1200    3
60.11143568    20.01035168    20181206    242600    1200    3
75.06078565    -9.981713865    20181206    260600    1200    3
121.20829    -1.689936206    20181206    274600    1200    3
128.0044558    12.93763708    20181206    292600    1200    3
330.7998713    30.98468589    20181207    174500    1200    3
335.3828834    -2.072086255    20181207    192500    1200    3
15.43672529    13.93340322    20181207    210500    1200    3
30.16874956    -2.813340516    20181207    224500    1200    3
65.07852941    22.1552862    20181207    242500    1200    3
91.9391401    -6.672156392    20181207    260500    1200    3
122.3191499    20.43529114    20181207    274500    1200    3
153.3586488    14.55121835    20181207    292500    1200    3
315.5669374    59.91429811    20181208    174400    1200    3
354.7841873    43.42426804    20181208    192400    1200    3
25.65035417    27.08924434    20181208    210400    1200    3
55.41716814    9.851550977    20181208    224400    1200    3
55.77868341    21.50030146    20181208    242400    1200    3
85.71328899    -0.3855909391    20181208    260400    1200    3
113.5566418    58.03108856    20181208    274400    1200    3
130.4845871    28.63989975    20181208    292400    1200    3
317.4374403    45.36516789    20181209    174300    1200    3
345.6875775    47.88251824    20181209    192300    1200    3
22.34229403    58.89919973    20181209    210300    1200    3
35.04775644    27.67495756    20181209    224300    1200    3
73.6749758    57.96067641    20181209    242300    1200    3
77.89604968    57.12186069    20181209    260300    1200    3
107.369811    -1.223248619    20181209    274300    1200    3
145.3291149    18.85482504    20181209    292300    1200    3
326.6548475    51.79847132    20181210    174200    1200    3
345.7572086    6.417641446    20181210    192200    1200    3
21.28857688    45.33200237    20181210    210200    1200    3
47.54499722    13.94603736    20181210    224200    1200    3
52.80497644    2.29231965    20181210    242200    1200    3
98.06519974    26.44063484    20181210    260200    1200    3
